rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect2m_rbd;nalu_mate2m_rbd;prom_lect2m_rbd;prom_mate2m_rbd;dif_lect2m_rbd;dif_mate2m_rbd;difgru_lect2m_rbd;difgru_mate2m_rbd;sigdif_lect2m_rbd;sigdif_mate2m_rbd;siggru_lect2m_rbd;siggru_mate2m_rbd;marca_lect2m_rbd;marca_mate2m_rbd;marcadif_lect2m_rbd;marcadif_mate2m_rbd;palu_eda_ins_lect2m_rbd;palu_eda_ele_lect2m_rbd;palu_eda_ade_lect2m_rbd;palu_eda_ins_mate2m_rbd;palu_eda_ele_mate2m_rbd;palu_eda_ade_mate2m_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
9919;8;COLEGIO PARTICULAR MATER DEI;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13102;CERRILLOS;134;Poniente;3;2;4;1;59;60;273;290;18;42;3;1;1;1;0;0;;;;;30.5;40.7;28.8;21.7;50;28.3;0;v12025;20260427;2m;2025
40298;2;COLEGIO BERNARDO O´HIGGINS;4;DE COQUIMBO;41;ELQUI;4101;LA SERENA;41;Elqui;3;2;3;1;108;91;260;262;;;4;-5;;;0;0;;;1;1;40.7;35.2;24.1;50.5;29.7;19.8;0;v12025;20260427;2m;2025
9172;3;COLEGIO POLIV. ROCKET COLLEGE;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13118;MACUL;133;Oriente;3;2;1;1;17;16;245;242;;4;17;9;;0;1;0;;;1;;70.6;11.8;17.6;68.8;18.8;12.5;0;v12025;20260427;2m;2025
10251;2;LICEO POETA FEDERICO GARCIA LORCA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13104;CONCHALÍ;137;Norte;6;4;2;1;91;94;234;226;7;4;-6;-21;0;0;-1;-1;;;;;60.4;36.3;3.3;73.4;24.5;2.1;0;v12025;20260427;2m;2025
5923;4;LICEO AGRICOLA CRUZ DEL SUR;9;DE LA ARAUCANÍA;91;CAUTÍN;9119;VILCÚN;92;Cautin Norte;3;2;1;2;10;8;207;207;-7;11;-21;-26;0;0;-1;0;;;;;100;0;0;;;;0;v12025;20260427;2m;2025
10500;7;COLEGIO POLIV. EL ALBORADA;13;METROPOLITANA DE SANTIAGO;132;CORDILLERA;13201;PUENTE ALTO;136;Cordillera;3;2;2;1;69;69;236;231;-1;-9;-4;-16;0;0;0;-1;;;;;59.4;30.4;10.1;76.8;17.4;5.8;0;v12025;20260427;2m;2025
10892;8;NORTH AMERICAN COLLEGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;151;Arica;3;2;3;1;130;117;278;327;11;;22;;1;;1;;;2;;1;23.1;39.2;37.7;10.3;28.2;61.5;0;v12025;20260427;2m;2025
78;7;LICEO GRANADEROS;15;DE ARICA Y PARINACOTA;152;PARINACOTA;15201;PUTRE;152;Parinacota;6;4;1;2;16;16;237;214;-6;-10;9;-19;0;0;0;0;;;;;56.3;31.3;12.5;81.3;6.3;12.5;0;v12025;20260427;2m;2025
12183;5;COLEGIO SAINT THOMAS COLLEGE;10;DE LOS LAGOS;103;OSORNO;10301;OSORNO;103;Osorno;3;2;4;1;28;30;277;313;-5;-6;7;24;0;0;0;1;;;;;14.3;60.7;25;13.3;43.3;43.3;0;v12025;20260427;2m;2025
12515;6;COLEGIO NUSTA KORI;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;11;Iquique;3;2;3;1;37;34;256;266;-7;15;0;-1;0;0;0;0;;;;;43.2;40.5;16.2;50;26.5;23.5;0;v12025;20260427;2m;2025
13394;9;CORAZON DE JESUS;4;DE COQUIMBO;42;CHOAPA;4204;SALAMANCA;43;Choapa;3;2;2;1;29;29;225;223;-17;-2;-15;-24;-1;0;-1;-1;;;;;69;17.2;13.8;69;27.6;3.4;0;v12025;20260427;2m;2025
1738;8;LICEO NUESTRA SRA.DE LA PAZ;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;3;2;3;1;68;65;258;297;6;23;2;30;0;1;0;1;;;;;38.2;38.2;23.5;24.6;40;35.4;0;v12025;20260427;2m;2025
