"rbd";"agno";"id_indicador";"prom";"dif";"mdif";"sigdif";"difgru";"mdifgru";"sigdifgru";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"codigo_bbdd";"fecha_bbdd";"grado"
17;2025;2;84;5;;1;8;;1;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
17;2025;3;92;6;;1;13;;1;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
17;2025;4;79;3;;0;8;;1;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
18;2025;1;85;0;;0;9;;1;ESC. COMTE. JUAN JOSE SAN MARTIN;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
18;2025;2;84;2;;0;8;;1;ESC. COMTE. JUAN JOSE SAN MARTIN;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
18;2025;3;91;6;;1;12;;1;ESC. COMTE. JUAN JOSE SAN MARTIN;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
18;2025;4;78;3;;0;7;;1;ESC. COMTE. JUAN JOSE SAN MARTIN;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
19;2025;1;77;1;;0;1;;0;ESC. HUMBERTO VALENZUELA GARCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
19;2025;2;74;4;;1;-2;;0;ESC. HUMBERTO VALENZUELA GARCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
19;2025;3;81;1;;0;2;;0;ESC. HUMBERTO VALENZUELA GARCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
19;2025;4;75;-2;;0;4;;1;ESC. HUMBERTO VALENZUELA GARCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
20;2025;1;77;0;;0;1;;0;ESCUELA TUCAPEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;4b
20;2025;2;75;1;;0;-1;;0;ESCUELA TUCAPEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;4b
20;2025;3;77;-3;;0;-3;;0;ESCUELA TUCAPEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;4b
20;2025;4;72;0;;0;1;;0;ESCUELA TUCAPEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;4b
22;2025;1;73;-4;;0;-1;;0;ESCUELA GABRIELA MISTRAL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;4b
22;2025;2;75;-1;;0;0;;0;ESCUELA GABRIELA MISTRAL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;4b
22;2025;3;77;0;;0;0;;0;ESCUELA GABRIELA MISTRAL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;4b
22;2025;4;71;0;;0;0;;0;ESCUELA GABRIELA MISTRAL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;4b
25;2025;1;74;0;;0;-2;;0;COLEGIO CENTENARIO DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
25;2025;2;71;-5;;-1;-5;;-1;COLEGIO CENTENARIO DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
25;2025;3;77;-1;;0;-2;;0;COLEGIO CENTENARIO DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
25;2025;4;70;-2;;0;-1;;0;COLEGIO CENTENARIO DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
26;2025;1;74;-2;;0;-2;;0;ESCUELA REPUBLICA DE ARGENTINA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
26;2025;2;78;-1;;0;2;;0;ESCUELA REPUBLICA DE ARGENTINA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
26;2025;3;82;4;;1;3;;0;ESCUELA REPUBLICA DE ARGENTINA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
26;2025;4;72;-2;;0;1;;0;ESCUELA REPUBLICA DE ARGENTINA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
27;2025;1;77;1;;0;1;;0;ESCUELA ESMERALDA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
27;2025;2;76;0;;0;0;;0;ESCUELA ESMERALDA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
27;2025;3;83;5;;1;4;;0;ESCUELA ESMERALDA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
27;2025;4;72;2;;0;1;;0;ESCUELA ESMERALDA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
28;2025;1;79;-4;;-1;5;;1;ESCUELA RICARDO SILVA ARRIAGADA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;4b
28;2025;2;80;-3;;0;5;;1;ESCUELA RICARDO SILVA ARRIAGADA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;4b
28;2025;3;81;-5;;-1;4;;0;ESCUELA RICARDO SILVA ARRIAGADA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;4b
28;2025;4;72;-5;;-1;1;;0;ESCUELA RICARDO SILVA ARRIAGADA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;4b
29;2025;1;81;-1;;0;5;;1;ESCUELA AMERICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
29;2025;2;80;0;;0;4;;1;ESCUELA AMERICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
29;2025;3;79;-3;;0;0;;0;ESCUELA AMERICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
29;2025;4;72;-3;;0;1;;0;ESCUELA AMERICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
31;2025;1;73;-5;;-1;-3;;0;ESCUELA DARIO SALAS DIAZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
31;2025;2;72;-2;;0;-4;;-1;ESCUELA DARIO SALAS DIAZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
31;2025;3;75;-2;;0;-5;;-1;ESCUELA DARIO SALAS DIAZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
31;2025;4;66;-3;;0;-5;;-1;ESCUELA DARIO SALAS DIAZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
32;2025;1;81;1;;0;5;;1;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
