"rbd";"agno";"id_indicador";"prom";"dif";"mdif";"sigdif";"difgru";"mdifgru";"sigdifgru";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"codigo_bbdd";"fecha_bbdd";"grado"
97;2025;3;70;-1;;0;-6;;-1;INST. COM. DE IQUIQUE BALDOMERO WOLNIT;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
97;2025;4;65;0;;0;-6;;-1;INST. COM. DE IQUIQUE BALDOMERO WOLNIT;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
103;2025;1;73;4;;1;0;;0;ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;3;1;v12025;20260423;2m
103;2025;2;76;4;;1;1;;0;ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;3;1;v12025;20260423;2m
103;2025;3;78;4;;1;2;;0;ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;3;1;v12025;20260423;2m
103;2025;4;64;-1;;0;-5;;-1;ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;3;1;v12025;20260423;2m
106;2025;1;74;-6;;-1;0;;0;INSTITUTO DEL MAR ALMIRANTE CARLOS CON;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;1;1;v12025;20260423;2m
106;2025;2;73;-3;;0;-2;;0;INSTITUTO DEL MAR ALMIRANTE CARLOS CON;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;1;1;v12025;20260423;2m
106;2025;3;74;-8;;-1;-3;;0;INSTITUTO DEL MAR ALMIRANTE CARLOS CON;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;1;1;v12025;20260423;2m
106;2025;4;76;2;;0;4;;0;INSTITUTO DEL MAR ALMIRANTE CARLOS CON;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;1;1;v12025;20260423;2m
107;2025;1;72;0;;0;-2;;0;LICEO LIBERT. GRAL.BERNARDO O´HIGGINS;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
107;2025;2;72;-2;;0;-3;;0;LICEO LIBERT. GRAL.BERNARDO O´HIGGINS;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
107;2025;3;74;-2;;0;-2;;0;LICEO LIBERT. GRAL.BERNARDO O´HIGGINS;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
107;2025;4;70;-3;;0;-1;;0;LICEO LIBERT. GRAL.BERNARDO O´HIGGINS;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
108;2025;1;72;2;;0;-2;;0;LICEO POLITEC. JOSE GUTIERREZ DE LA FU;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;1;1;v12025;20260423;2m
108;2025;2;72;2;;0;-3;;0;LICEO POLITEC. JOSE GUTIERREZ DE LA FU;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;1;1;v12025;20260423;2m
108;2025;3;74;3;;0;-3;;0;LICEO POLITEC. JOSE GUTIERREZ DE LA FU;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;1;1;v12025;20260423;2m
108;2025;4;73;4;;0;1;;0;LICEO POLITEC. JOSE GUTIERREZ DE LA FU;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;1;1;v12025;20260423;2m
109;2025;1;67;-8;;-1;-7;;-1;COLEGIO DEPORTIVO TEC. PROF. ELENA DUV;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
109;2025;2;64;-8;;-1;-11;;-1;COLEGIO DEPORTIVO TEC. PROF. ELENA DUV;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
109;2025;3;69;-9;;-1;-7;;-1;COLEGIO DEPORTIVO TEC. PROF. ELENA DUV;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
109;2025;4;68;-8;;-1;-3;;0;COLEGIO DEPORTIVO TEC. PROF. ELENA DUV;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
110;2025;1;72;3;;0;-2;;0;LICEO BICENTENARIO DOMINGO SANTA MARIA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
110;2025;2;74;1;;0;-1;;0;LICEO BICENTENARIO DOMINGO SANTA MARIA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
110;2025;3;76;1;;0;0;;0;LICEO BICENTENARIO DOMINGO SANTA MARIA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
110;2025;4;73;0;;0;2;;0;LICEO BICENTENARIO DOMINGO SANTA MARIA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
124;2025;1;68;-1;;0;-6;;-1;LICEO LUIS CRUZ MARTINEZ;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
124;2025;2;69;2;;0;-6;;-1;LICEO LUIS CRUZ MARTINEZ;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
124;2025;3;69;0;;0;-7;;-1;LICEO LUIS CRUZ MARTINEZ;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
124;2025;4;70;3;;0;-1;;0;LICEO LUIS CRUZ MARTINEZ;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
125;2025;1;74;-1;;0;0;;0;ESCUELA PROFESOR MANUEL CASTRO RAMOS;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
125;2025;2;74;-4;;-1;-1;;0;ESCUELA PROFESOR MANUEL CASTRO RAMOS;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
125;2025;3;74;-6;;-1;-2;;0;ESCUELA PROFESOR MANUEL CASTRO RAMOS;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
125;2025;4;74;-2;;0;3;;0;ESCUELA PROFESOR MANUEL CASTRO RAMOS;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
127;2025;1;72;-5;;-1;-1;;0;LICEO MARIA AUXILIADORA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;4;1;v12025;20260423;2m
127;2025;2;77;-1;;0;3;;0;LICEO MARIA AUXILIADORA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;4;1;v12025;20260423;2m
127;2025;3;76;-2;;0;0;;0;LICEO MARIA AUXILIADORA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;4;1;v12025;20260423;2m
127;2025;4;70;-4;;0;3;;0;LICEO MARIA AUXILIADORA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;4;1;v12025;20260423;2m
129;2025;1;79;7;;1;6;;1;LICEO SUPERIOR GABRIELA MISTRAL;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
129;2025;2;80;0;;0;5;;1;LICEO SUPERIOR GABRIELA MISTRAL;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
129;2025;3;83;2;;0;7;;1;LICEO SUPERIOR GABRIELA MISTRAL;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
129;2025;4;73;-3;;0;4;;0;LICEO SUPERIOR GABRIELA MISTRAL;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
130;2025;1;70;-6;;-1;-3;;0;COLEGIO NORTH COLLEGE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;4;1;v12025;20260423;2m
130;2025;2;72;-7;;-1;-2;;0;COLEGIO NORTH COLLEGE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;4;1;v12025;20260423;2m
130;2025;3;72;-6;;-1;-4;;-1;COLEGIO NORTH COLLEGE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;4;1;v12025;20260423;2m
130;2025;4;67;-7;;-1;0;;0;COLEGIO NORTH COLLEGE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;4;1;v12025;20260423;2m
131;2025;1;66;-9;;-1;-7;;-1;COLEGIO ESCASCE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
131;2025;2;71;-4;;-1;-4;;-1;COLEGIO ESCASCE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
131;2025;3;70;-4;;0;-6;;-1;COLEGIO ESCASCE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
131;2025;4;71;3;;0;2;;0;COLEGIO ESCASCE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
132;2025;1;76;2;;0;3;;0;COLEGIO BAJO MOLLE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;4;1;v12025;20260423;2m
132;2025;2;74;0;;0;0;;0;COLEGIO BAJO MOLLE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;4;1;v12025;20260423;2m
132;2025;3;75;-1;;0;-1;;0;COLEGIO BAJO MOLLE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;4;1;v12025;20260423;2m
132;2025;4;66;1;;0;-1;;0;COLEGIO BAJO MOLLE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;4;1;v12025;20260423;2m
133;2025;1;73;;/;;0;;0;COLEGIO ADVENTISTA DE IQUIQUE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
133;2025;2;77;;/;;2;;0;COLEGIO ADVENTISTA DE IQUIQUE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
133;2025;3;74;;/;;-2;;0;COLEGIO ADVENTISTA DE IQUIQUE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
133;2025;4;73;;/;;4;;0;COLEGIO ADVENTISTA DE IQUIQUE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
134;2025;1;68;1;;0;-5;;-1;LICEO ATENEA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
134;2025;2;75;6;;1;0;;0;LICEO ATENEA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
134;2025;3;75;8;;1;-1;;0;LICEO ATENEA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
134;2025;4;66;7;;1;-3;;0;LICEO ATENEA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
144;2025;1;73;-2;;0;0;;0;COLEGIO IQUIQUE YOUNG SCHOOL;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;2;3;1;v12025;20260423;2m
