rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect8b_rbd;nalu_mate8b_rbd;nalu_hist8b_rbd;prom_lect8b_rbd;prom_mate8b_rbd;prom_hist8b_rbd;dif_lect8b_rbd;dif_mate8b_rbd;dif_hist8b_rbd;difgru_lect8b_rbd;difgru_mate8b_rbd;difgru_hist8b_rbd;sigdif_lect8b_rbd;sigdif_mate8b_rbd;sigdif_hist8b_rbd;siggru_lect8b_rbd;siggru_mate8b_rbd;siggru_hist8b_rbd;marca_lect8b_rbd;marca_mate8b_rbd;marca_hist8b_rbd;marcadif_lect8b_rbd;marcadif_mate8b_rbd;marcadif_hist8b_rbd;palu_eda_ins_lect8b_rbd;palu_eda_ele_lect8b_rbd;palu_eda_ade_lect8b_rbd;palu_eda_ins_mate8b_rbd;palu_eda_ele_mate8b_rbd;palu_eda_ade_mate8b_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
1197;5;ESCUELA ESPANA;5;DE VALPARAÍSO;53;LOS ANDES;5301;LOS ANDES;52;San Felipe - Los Andes;2;1;3;1;86;87;86;209;247;233;-34;-12;-16;-28;-9;-15;-1;-1;-1;-1;-1;-1;;;;;;;70.9;23.3;5.8;47.1;43.7;9.2;0;v12025;20260427;8b;2025
1363;3;LICEO SANTIAGO ESCUTI ORREGO;5;DE VALPARAÍSO;55;QUILLOTA;5501;QUILLOTA;51;Quillota - Petorca;2;1;2;1;46;46;46;208;229;224;-16;5;0;-17;-13;-12;-1;0;0;-1;-1;-1;;;;;;;63;34.8;2.2;69.6;21.7;8.7;0;v12025;20260427;8b;2025
3404;5;ESCUELA IGNACIO URRUTIA DE LA SOTTA;7;DEL MAULE;74;LINARES;7404;PARRAL;73;Linares;2;1;2;2;10;10;10;259;271;269;22;31;13;34;29;33;0;1;0;1;1;1;;;;;;;10;80;10;20;60;20;0;v12025;20260427;8b;2025
7128;5;COLEGIO DE CULTURA Y DIFUSION ARTISTICA;14;DE LOS RÍOS;142;DEL RANCO;14201;LA UNIÓN;142;Ranco;2;1;3;1;52;55;52;246;251;249;-4;5;-8;9;-5;1;0;0;0;1;-1;0;;;;;;;36.5;42.3;21.2;49.1;40;10.9;0;v12025;20260427;8b;2025
6793;8;ESCUELA RURAL HUELLELHUE;14;DE LOS RÍOS;141;VALDIVIA;14101;VALDIVIA;141;Valdivia;6;4;2;2;4;3;4;197;203;224;;;;;;;;;;;;;;;;2;2;2;;;;;;;0;v12025;20260427;8b;2025
9710;1;ESCUELA BASICA SANTA ADRIANA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13116;LO ESPEJO;132;Sur;6;4;1;1;16;16;16;205;215;220;-8;14;-5;-13;-19;-11;0;0;0;-1;-1;0;;;;;;;62.5;25;12.5;68.8;25;6.3;0;v12025;20260427;8b;2025
722;6;ESC. HEBERTO VELAZQUEZ VELAZQUEZ;4;DE COQUIMBO;43;LIMARÍ;4301;OVALLE;42;Limari;2;1;2;1;16;18;16;246;252;264;14;-1;29;21;10;28;0;0;1;1;0;1;;;;;;;37.5;43.8;18.8;50;44.4;5.6;0;v12025;20260427;8b;2025
14788;5;COLEGIO PAPA JUAN PABLO II;5;DE VALPARAÍSO;56;SAN ANTONI;5601;SAN ANTONIO;54;San Antonio;3;2;2;1;32;30;31;200;248;224;-44;6;-29;-25;6;-12;-1;0;-1;-1;0;-1;;;;;;;68.8;28.1;3.1;50;43.3;6.7;0;v12025;20260427;8b;2025
1555;5;ESCUELA REPUBLICA DE ISRAEL;5;DE VALPARAÍSO;51;VALPARAÍSO;5101;VALPARAÍSO;53;Valparaiso - Isla de Pascua;6;4;2;1;13;13;13;249;244;256;57;30;35;24;2;20;1;1;1;1;0;1;;;;;;;23.1;69.2;7.7;53.8;46.2;0;0;v12025;20260427;8b;2025
2714;6;ESCUELA UNION DE MUJERES AMERICANAS;6;DEL LIBERTADOR BERNARDO OHIGGINS;62;CARDENAL C;6206;PAREDONES;63;Cardenal Caro;2;1;2;1;16;15;16;231;237;235;-13;-3;-4;6;-5;-1;0;0;0;0;0;0;;;;;;;50;43.8;6.3;66.7;33.3;0;0;v12025;20260427;8b;2025
