rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
3670;6;ESCUELA BASICA REYES DE ESPANA;16;DE ÑUBLE;161;DIGUILLÍN;16101;CHILLÁN;161;Diguillín;2;1;2;1;27;27;305;288;;;38;36;;;1;1;;;1;1;3.7;22.2;74.1;7.4;51.9;40.7;0;v12025;20260427;4b;2025
1168;1;ESCUELA HANS WENKE MENGERS;5;DE VALPARAÍSO;54;PETORCA;5402;CABILDO;51;Quillota - Petorca;2;1;1;1;32;35;244;223;-28;-25;-15;-20;-1;-1;-1;-1;;;;;43.8;28.1;28.1;65.7;31.4;2.9;0;v12025;20260427;4b;2025
4002;9;ESCUELA BASICA EL CASINO;16;DE ÑUBLE;161;DIGUILLÍN;16107;QUILLÓN;161;Diguillín;2;1;3;2;15;16;329;288;25;-8;53;28;1;0;1;1;;;;;0;13.3;86.7;12.5;50;37.5;0;v12025;20260427;4b;2025
25642;0;ESCUELA BAS. MUNIC. CUYUNCAVI;13;METROPOLITANA DE SANTIAGO;135;MELIPILLA;13503;CURACAVÍ;135;Talagante;2;1;2;1;14;16;268;262;3;12;1;10;0;0;0;1;;;;;50;7.1;42.9;43.8;18.8;37.5;0;v12025;20260427;4b;2025
1062;6;ESC.PDTE.FEDERICO ERRAZURIZ ECHAURREN;4;DE COQUIMBO;42;CHOAPA;4203;LOS VILOS;43;Choapa;2;1;1;2;1;1;;;;;;;;;;;1;1;2;2;;;;;;;0;v12025;20260427;4b;2025
10345;4;ESCUELA PARTICULAR FRANCISCO BILBAO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13127;RECOLETA;137;Norte;3;2;2;1;91;91;278;255;4;-1;11;3;0;0;1;0;;;;;28.6;22;49.5;40.7;41.8;17.6;0;v12025;20260427;4b;2025
20378;5;ESCUELA BASICA RENACER;9;DE LA ARAUCANÍA;91;CAUTÍN;9116;SAAVEDRA;92;Cautin Norte;3;2;4;2;1;1;;;;;;;;;;;1;1;1;1;;;;;;;0;v12025;20260427;4b;2025
13216;0;ESCUELA EPU NEWEN;9;DE LA ARAUCANÍA;91;CAUTÍN;9101;TEMUCO;92;Cautin Norte;3;2;2;1;30;31;259;248;;;-8;-4;;;-1;0;;;1;1;40;30;30;48.4;35.5;16.1;0;v12025;20260427;4b;2025
4062;2;ESCUELA VEGAS DE ITATA;16;DE ÑUBLE;162;ITATA;16203;COELEMU;161;Diguillín;2;1;1;2;4;4;297;289;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
9017;4;ESCUELA PARTICULAR SAN LEONARDO MURIALD;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13113;LA REINA;133;Oriente;3;2;4;1;39;38;263;268;-27;-22;-21;-2;-1;-1;-1;0;;;;;35.9;30.8;33.3;28.9;42.1;28.9;0;v12025;20260427;4b;2025
8888;9;COLEGIO DEL VERBO DIVINO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13114;LAS CONDES;133;Oriente;4;3;5;1;118;118;307;320;-13;1;5;28;-1;0;1;1;;;;;8.5;20.3;71.2;0.8;20.3;78.8;0;v12025;20260427;4b;2025
4689;2;COLEGIO CONCEPCION;8;DEL BIOBÍO;81;CONCEPCIÓN;8103;CHIGUAYANTE;83;Concepcion;4;3;5;1;58;58;297;287;10;-4;-5;-5;0;0;0;-1;;;;;12.1;27.6;60.3;12.1;41.4;46.6;0;v12025;20260427;4b;2025
1855;4;ESCUELA BASICA REPUBLICA DE FRANCIA;5;DE VALPARAÍSO;51;VALPARAÍSO;5107;QUINTERO;53;Valparaiso - Isla de Pascua;6;4;2;1;63;60;253;247;-10;-11;-14;-5;0;0;-1;0;;;;;34.9;36.5;28.6;50;33.3;16.7;0;v12025;20260427;4b;2025
6017;8;ESCUELA MUNICIPAL CARÉN;9;DE LA ARAUCANÍA;91;CAUTÍN;9110;MELIPEUCO;92;Cautin Norte;2;1;2;2;2;2;320;253;;;;;;;;;;;1;1;;;;;;;0;v12025;20260427;4b;2025
